# Documentation for CSBF data from test flight: 
# - 598N_back.txt: ascii; some header information then 8 columns with self
# explanatory column headings
# - 598N.txt: ascii; formatted for simpler reading into IDL; 12 columns; 
# First three columns correspond to the time column of the previous
# file, Longitude and latitude columns from previous file also separated
# to 4 columns; glitch removed from data.  
#
#  Column 0 = UT time (decimal hours); 
#  Column 1 = Local time (decimal hours); 
#  Column 2 = barometric altitude (ft)
#  Column 3 = MBS (don't know )
#  Column 4 = Air temp (C)
#  Column 5 = radiation temperate (C)
#  Column 6 = Latitude (Decimal degrees)
#  Column 7 = Longitude (Decimal degrees)
#  Column 8 = GPS altitude (m)
#
#4 12 812
# CIP DATA FLIGHT REPORT:
#  FLIGHT:  598N Science Group: HANANY/EBEX
#  DATE:  11-JUN-2009
#  TIME   BAR ALT    MBS     AIRT   DRAD      LAT      LON     GPS ALT
 17 57 02 115450.    5.46   -26.0   26.0    34 36.6 -105 07.8  35915.
 17 58 02 115365.    5.48   -25.9   26.0    34 36.4 -105 08.9  35891.
 17 59 02 115450.    5.46   -26.3   25.2    34 36.3 -105 10.0  35910.
 18 00 02 115492.    5.45   -26.8   25.2    34 36.1 -105 11.0  35924.
 18 01 02 115450.    5.46   -26.9   24.8    34 35.9 -105 12.1  35907.
 18 02 02 115323.    5.49   -26.7   24.4    34 35.8 -105 13.2  35878.
 18 03 02 115323.    5.49   -26.7   24.4    34 35.6 -105 14.3  35876.
 18 04 02 115365.    5.48   -26.9   24.4    34 35.4 -105 15.3  35891.
 18 05 02 115365.    5.48   -27.2   23.7    34 35.2 -105 16.5  35885.
 18 06 02 115281.    5.50   -27.3   23.7    34 35.0 -105 17.6  35858.
 18 07 02 115239.    5.51   -27.3   23.3    34 34.8 -105 18.6  35844.
 18 08 02 115239.    5.51   -27.3   23.3    34 34.6 -105 19.7  35844.
 18 09 02 115197.    5.52   -27.2   23.3    34 34.4 -105 20.9  35830.
 18 10 02 115031.    5.56   -27.0   22.9    34 34.3 -105 21.9  35788.
 18 11 02 114865.    5.60   -26.8   23.3    34 34.1 -105 23.0  35744.
 18 12 02 114907.    5.59   -26.9   23.3    34 34.0 -105 24.2  35742.
 18 13 02 114989.    5.57   -27.4   22.9    34 33.8 -105 25.2  35766.
 18 14 02 114948.    5.58   -28.0   22.9    34 33.6 -105 26.3  35762.
 18 15 02 114783.    5.62   -28.2   22.9    34 33.5 -105 27.4  35715.
 18 16 02 114701.    5.64   -28.4   22.9    34 33.3 -105 28.5  35688.
 18 17 02 114783.    5.62   -28.5   22.9    34 33.2 -105 29.5  35702.
 18 18 03 114824.    5.61   -28.7   22.9    34 33.0 -105 30.6  35723.
 18 19 03 114742.    5.63   -29.1   22.9    34 32.9 -105 31.7  35706.
 18 20 03 114620.    5.66   -29.1   23.3    34 32.8 -105 32.8  35668.
 18 21 03 114538.    5.68   -29.0   23.3    34 32.6 -105 33.8  35648.
 18 22 03 114579.    5.67   -29.0   23.3    34 32.5 -105 34.9  35652.
 18 23 03 114579.    5.67   -29.1   23.7    34 32.4 -105 35.9  35651.
 18 24 03 114538.    5.68   -29.2   24.5    34 32.2 -105 37.0  35634.
 18 25 03 114498.    5.69   -29.3   24.9    34 32.1 -105 38.1  35618.
 18 26 03 114498.    5.69   -29.2   25.6    34 32.0 -105 39.1  35619.
 18 27 03 114498.    5.69   -29.3   26.5    34 31.9 -105 40.2  35618.
 18 28 03 114417.    5.71   -29.0   27.7    34 31.8 -105 41.2  35606.
 18 29 03 114417.    5.71   -23.8   28.2    34 31.6 -105 42.3  35593.
 18 30 03 114377.    5.72   -24.9   29.0    34 31.5 -105 43.3  35582.
 18 31 03 114336.    5.73   -24.4   29.5    34 31.4 -105 44.3  35567.
 18 32 03 114256.    5.75   -24.4   29.9    34 31.3 -105 45.4  35545.
 18 33 03 114176.    5.77   -24.1   30.4    34 31.2 -105 46.4  35517.
 18 34 03 114017.    5.81   -26.0   31.4    34 31.2 -105 47.5  35481.
 18 35 03 113899.    5.84   -27.4   31.4    34 31.1 -105 48.6  35446.
 18 36 03 113860.    5.85   -27.5   31.4    34 31.0 -105 49.7  35427.
 18 37 03 113860.    5.85   -27.6   31.4    34 31.0 -105 50.8  35423.
 18 38 03 113820.    5.86   -27.8   31.4    34 30.9 -105 51.9  35407.
 18 39 03 113703.    5.89   -27.4   31.4    34 30.8 -105 53.0  35378.
 18 40 03 113586.    5.92   -26.7   31.4    34 30.8 -105 54.1  35349.
 18 41 04 113509.    5.94   -26.5   31.4    34 30.6 -105 55.3  35321.
 18 42 04 113431.    5.96   -26.7   31.4    34 30.5 -105 56.4  35295.
 18 43 04 113355.    5.98   -27.8   31.4    34 30.4 -105 57.4  35278.
 18 44 04 113355.    5.98   -28.1   30.4    34 30.3 -105 58.5  35269.
 18 45 04 113278.    6.00   -29.0   29.9    34 30.1 -105 59.6  35244.
 18 46 04 113087.    6.05   -29.2   30.0    34 30.0 -106 00.8  35194.
 18 47 04 112936.    6.09   -29.2   30.0    34 29.8 -106 01.9  35148.
 18 48 04 112936.    6.09   -29.3   29.9    34 29.5 -106 03.0  35141.
 18 49 04 113012.    6.07   -29.5   29.9    34 29.3 -106 04.1  35165.
 18 50 04 112974.    6.08   -29.5   29.9    34 29.0 -106 05.2  35158.
 18 51 04 112786.    6.13   -29.7   30.0    34 28.8 -106 06.2  35105.
 18 52 04 112711.    6.15   -29.8   30.0    34 28.5 -106 07.3  35070.
 18 53 04 112786.    6.13   -29.9   30.4    34 28.2 -106 08.4  35097.
 18 54 04 112861.    6.11   -30.2   30.4    34 27.9 -106 09.4  35121.
 18 55 04 112749.    6.14   -30.5   30.0    34 27.7 -106 10.4  35088.
 18 56 04 112600.    6.18   -30.4   29.5    34 27.4 -106 11.5  35042.
 18 57 04 112600.    6.18   -30.4   29.1    34 27.1 -106 12.5  35034.
 18 58 04 112637.    6.17   -30.7   29.1    34 26.8 -106 13.4  35049.
 18 59 04 112637.    6.17   -30.9   29.1    34 26.5 -106 14.4  35038.
